UnitID,Institution Name,Name,Full-time retention rate  2012 (EF2012D),Percent of total enrollment that are women (DRVEF2012),Graduation rate  total cohort (DRVGR2012),Percent of full-time first-time undergraduates receiving federal  state  local or institutional grant aid (SFA1112),Average salary equated to 9 months of full-time insructional staff - professors (DRVHR2012),Average salary equated to 9 months of full-time instructional staff - assistant professors (DRVHR2012),Average salary equated to 9 months of full-time instructional staff - associate professors (DRVHR2012),Total price for in-district students living on campus  2011-12 (DRVIC2011_RV),Percent admitted - men (DRVIC2011_RV),Percent admitted - women (DRVIC2011_RV),Assistant professors (S2012_SIS  With faculty status  on tenure track),Professors (S2012_SIS  With faculty status  tenured),StartingPay,MidCareerPay
110422,California Polytechnic State University-San Luis Obispo,CalPoly,93,45,72,37,94158,65502,77751,23478,30,35,145,278,67000,125000
211440,Carnegie Mellon University,CMU,95,37,87,61,146151,103644,101664,57520,28,34,136,365,81300,111000
190415,Cornell University,Cornell,96,48,93,55,156132,93699,107748,57125,17,19,255,747,70000,116500
139755,Georgia Institute of Technology-Main Campus,GeorgiaTech,95,31,79,61,129681,80586,86337,21098,49,57,215,425,65800,111000
166683,Massachusetts Institute of Technology,MIT,98,37,93,58,180450,105984,121221,55270,7,16,154,637,82400,117500
193900,New York University,NYU,92,58,85,56,186948,47646,107694,58858,32,33,353,940,60000,112500
186380,Rutgers University-New Brunswick,Rutgers,91,51,79,55,134820,72882,90423,28253,60,63,242,714,63000,114500
122755,San Jose State University,SJSU,83,52,47,45,95103,71649,76059,23671,54,59,120,323,65500,114400
243744,Stanford University,Stanford,98,44,95,55,202464,111006,134559,57755,7,7,281,810,90000,120000
228778,The University of Texas at Austin,UT-Austin,93,51,79,50,143820,85950,92799,24714,44,49,398,983,64000,106200
110635,University of California-Berkeley,UC-Berkeley,96,50,91,53,156015,93834,106209,32632,20,23,188,840,82000,141400
110653,University of California-Irvine,UC-Irvine,93,52,86,68,139779,82143,91773,29425,43,47,183,607,64200,120000
110662,University of California-Los Angeles,UCLA,96,52,92,59,163710,85923,107307,31556,26,25,216,1158,65000,110000
110680,University of California-San Diego,UCSD,94,48,86,69,139878,87030,91908,29506,37,39,155,717,70000,115000
110705,University of California-Santa Barbara,UCSB,91,52,80,60,140112,77247,86247,31691,44,46,75,497,68000,120200
145637,University of Illinois at Urbana-Champaign,UIUC,94,45,84,46,137502,83898,90315,27628,67,69,381,754,68000,106000
163286,University of Maryland-College Park,UMD,94,47,82,62,132912,84249,94617,22632,46,44,315,642,66000,112000
236948,University of Washington-Seattle Campus,UW,93,52,81,36,115614,79920,87552,24059,56,61,236,698,65000,112100
233921,Virginia Polytechnic Institute and State University,VirginiaTech,92,42,83,44,116316,73170,82305,23869,64,71,318,560,66700,117000
168421,Worcester Polytechnic Institute,WPI,96,30,84,97,135522,89568,100098,54164,54,67,60,87,69500,111500
